,Sumo__Plant__Influent1__T,Sumo__Plant__Influent__param__TCOD,Sumo__Plant__Influent1__param__TKN,Sumo__Plant__Influent1__param__TP,Sumo__Plant__Influent__param__Q
2022-03-02 13:45:00,13.776,730.0,76.0,8.4,1206.6
2022-03-02 14:00:00,13.776,730.0,76.0,8.4,245.231
2022-03-02 14:15:00,13.776,730.0,76.0,8.4,458.589
2022-03-02 14:30:00,13.776,730.0,76.0,8.4,305.132
2022-03-02 14:45:00,13.776,730.0,76.0,8.4,531.063
2022-03-02 15:00:00,13.776,730.0,76.0,8.4,1309.38
2022-03-02 15:15:00,13.776,730.0,76.0,8.4,744.301
2022-03-02 15:30:00,13.776,730.0,76.0,8.4,329.754
2022-03-02 15:45:00,13.776,730.0,76.0,8.4,480.436
2022-03-02 16:00:00,13.776,730.0,76.0,8.4,740.658
2022-03-02 16:15:00,13.776,730.0,76.0,8.4,1162.48
2022-03-02 16:30:00,13.776,730.0,76.0,8.4,721.526
2022-03-02 16:45:00,13.776,730.0,76.0,8.4,33.5058
2022-03-02 17:00:00,13.776,730.0,76.0,8.4,229.755
2022-03-02 17:15:00,13.776,730.0,76.0,8.4,466.438
2022-03-02 17:30:00,13.776,730.0,76.0,8.4,649.448
2022-03-02 17:45:00,13.776,730.0,76.0,8.4,226.529
2022-03-02 18:00:00,13.776,730.0,76.0,8.4,413.468
2022-03-02 18:15:00,13.776,730.0,76.0,8.4,395.618
2022-03-02 18:30:00,13.776,730.0,76.0,8.4,1251.36
2022-03-02 18:45:00,13.776,730.0,76.0,8.4,1102.18
2022-03-02 19:00:00,13.776,730.0,76.0,8.4,306.807
2022-03-02 19:15:00,13.776,730.0,76.0,8.4,1244.81
2022-03-02 19:30:00,13.776,730.0,76.0,8.4,949.596
2022-03-02 19:45:00,13.776,730.0,76.0,8.4,324.565
2022-03-02 20:00:00,13.776,730.0,76.0,8.4,964.584
2022-03-02 20:15:00,13.776,730.0,76.0,8.4,82.3224
2022-03-02 20:30:00,13.776,730.0,76.0,8.4,884.971
2022-03-02 20:45:00,13.776,730.0,76.0,8.4,1670.1
2022-03-02 21:00:00,13.776,730.0,76.0,8.4,439.71
2022-03-02 21:15:00,13.776,730.0,76.0,8.4,641.486
2022-03-02 21:30:00,13.776,730.0,76.0,8.4,1316.92
2022-03-02 21:45:00,13.776,730.0,76.0,8.4,445.893
2022-03-02 22:00:00,13.776,730.0,76.0,8.4,900.645
2022-03-02 22:15:00,13.776,730.0,76.0,8.4,1225.23
2022-03-02 22:30:00,13.776,730.0,76.0,8.4,934.746
2022-03-02 22:45:00,13.776,730.0,76.0,8.4,717.363
2022-03-02 23:00:00,13.776,730.0,76.0,8.4,733.611
2022-03-02 23:15:00,13.776,730.0,76.0,8.4,812.5
2022-03-02 23:30:00,13.776,730.0,76.0,8.4,1278.98
2022-03-02 23:45:00,13.776,730.0,76.0,8.4,1044.16
2022-03-03 00:00:00,13.915,730.0,76.0,8.4,664.564
2022-03-03 00:15:00,13.915,730.0,76.0,8.4,267.228
2022-03-03 00:30:00,13.915,730.0,76.0,8.4,689.845
2022-03-03 00:45:00,13.915,730.0,76.0,8.4,600.201
2022-03-03 01:00:00,13.915,730.0,76.0,8.4,587.06
2022-03-03 01:15:00,13.915,730.0,76.0,8.4,450.394
2022-03-03 01:30:00,13.915,730.0,76.0,8.4,619.663
2022-03-03 01:45:00,13.915,730.0,76.0,8.4,107.359
2022-03-03 02:00:00,13.915,730.0,76.0,8.4,389.764
2022-03-03 02:15:00,13.915,730.0,76.0,8.4,305.711
2022-03-03 02:30:00,13.915,730.0,76.0,8.4,150.027
2022-03-03 02:45:00,13.915,730.0,76.0,8.4,147.671
2022-03-03 03:00:00,13.915,730.0,76.0,8.4,267.14
2022-03-03 03:15:00,13.915,730.0,76.0,8.4,479.771
2022-03-03 03:30:00,13.915,730.0,76.0,8.4,95.7046
2022-03-03 03:45:00,13.915,730.0,76.0,8.4,361.798
2022-03-03 04:00:00,13.915,730.0,76.0,8.4,357.595
2022-03-03 04:15:00,13.915,730.0,76.0,8.4,43.302
2022-03-03 04:30:00,13.915,730.0,76.0,8.4,162.509
2022-03-03 04:45:00,13.915,730.0,76.0,8.4,130.065
2022-03-03 05:00:00,13.915,730.0,76.0,8.4,216.495
2022-03-03 05:15:00,13.915,730.0,76.0,8.4,238.785
2022-03-03 05:30:00,13.915,730.0,76.0,8.4,343.169
2022-03-03 05:45:00,13.915,730.0,76.0,8.4,635.92
2022-03-03 06:00:00,13.915,730.0,76.0,8.4,481.675
2022-03-03 06:15:00,13.915,730.0,76.0,8.4,48.6336
2022-03-03 06:30:00,13.915,730.0,76.0,8.4,682.335
2022-03-03 06:45:00,13.915,730.0,76.0,8.4,111.525
2022-03-03 07:00:00,13.915,730.0,76.0,8.4,1022.6
2022-03-03 07:15:00,13.915,730.0,76.0,8.4,419.937
2022-03-03 07:30:00,13.915,730.0,76.0,8.4,741.585
2022-03-03 07:45:00,13.915,730.0,76.0,8.4,673.344
2022-03-03 08:00:00,13.915,730.0,76.0,8.4,1221.06
2022-03-03 08:15:00,13.915,730.0,76.0,8.4,409.036
